name,effect,cost,
Addiction,"The character is addicted to a substance. A week of withdrawal will cause a level of exhaustion every day which are not naturally regenerated anymore. Other exhaustion still regenerates naturally until two weeks of withdrawal. This only applies to uncontrolled withdrawal, not to therapy.",10,
Agoraphobia (DC),"The character is afraid of wide, open places.",1 per 5,
Annoying Voice,The character has an annoying voice. This grants -10 to social tests that involve talking.,5,
Arrogance (DC),The character believes to be superior to others.,1 per 5,
Backwoods Customs,"Even though most cultures have melted, the character has grown up outside the core of society. He has internalized customs that some would call barbaric.",5,
Bad Reputation,"The character has some sort of bad reputation, either from well known deeds or from known genetic markers. If he is talking to someone who knows of this, he gains a penalty equal to 5 times the boon's level. Can be taken up to level 10.",2 per level,
Bathophobia (DC),The character is afraid of depths. This may trigger at the bottom of the ocean just as much as it could in a massive canyon.,1 per 10,
Belief in Authority (DC),The character believes in authority and those who represent it. Not compatible with Rebel.,1 per 10,
Berserk Rush,"When the character is thoroughly enraged or he is influenced by substances that boost courage, he falls into a frenzy. Restraint tests to resist frenzy suffer a -20.",15,
Blind,The character can't see. This is due to nervous or brain damage and can't be fixed via augments.,40,
Blood Lust (DC),Lust for bloody combat drives the character. She likes taking the time to make her victims suffer and might end up causing trouble for herself and her group due to this.,1 per 10,
Bound by Duty,"The character is obliged to follow a certain person's or group's commands. If she disobeys, there might be severe consequences.",12,
Bound by Principle,"The character is bound by her own principles. They are central moral values that may rarely be bent and almost never broken. If they are, doubts will follow the character for at least a week, inferring a -40 penalty to anything requiring focus. By GM discretion these penalties might function slightly differently depending on the situation.",12,
Caring (DC),The character is overly caring for his peers. He will take great risks to help others.,1 per 5,
Claustrophobia (DC),"The character is afraid of small, narrow places.",3 per 10,
Clumsy,Critical failures occur on a roll of 96 and above.,20,
Colorblind,"The character is incapable of seeing colors. When she wants to identify something that is only discernible by color, she takes a -20 penalty. This also counts for ranged attacks against large or smaller targets.",5,
Curiosity (DC),"When there is something to know, the character will want to know, whether it is of concern or not.",1 per 5,
Cursed by Fortuna,"When a bad event hits the group, this character is much more likely to be hit in particular. Also once per session the GM may declare a success to be a failure instead.",15,
Debt,The character is indebted to someone. The loaner will require regular payments or the character will suffer consequences depending on their relationship and the type of people they are.,1 per 500 cr,
