name,cost,prerequisites,effect
Advanced Parry,400,Overly Cautious,"When parrying multiple hits, distribute DoS among any amount of attackers. Still requires more DoS than the opponent for single hits. Can also parry Flexible weapons."
Alpha Strike,500,"From the shadows, no Beta Strike",Successfully attacking an unaware target automatically hits critically.
Assassin Strike,350,Acrobatics Trained,Scoring a critical hit or deathblow in melee allows the character to move up to his speed in meters right away without provoking opportunity attacks.
Augsmith,350,"Mechanics Experienced, Bio-Maintenance Experienced",The character is capable of repairing cybernetic implants.
Bar Fighter,250,Quaffing Trained,Ignore \emph{Improvised} penalties.
Battle Mind,400,Intelligence 40,The character may add a tenth of his Intelligence to \emph{Base Initiative}.
Battle Sense,500,Perception Trained,"Adds a fifth of Perception Bonus (2, 4, or 8) to initiative. Doubles penalties to attacks of opportunity against the character."
Beta Strike,500,"Constitution 40, no Alpha Strike",The user gains +10 to hit any character that has already attacked him during this combat encounter.
Blind Fighting,300,Trained Sense: Hearing,Limits the penalties for being blinded in melee combat to -10.
Blurry,250,"Acrobatics Trained, Athletics Trained",While sprinting the character imposes a -20 to everyone trying to hit him.
Broken,450,Courage 40,Grants +30 to fear and pinning tests but doubles penalties from bad reputation or disposition.
Butcher,400,no Earth Shaker,Damage dealt with blades is increased by 1 for one-handed weapons and 2 for two-handed weapons.
Calculated Pilot,300,"Instinct 30, Dexterity 30","Halves penalties for piloting tests in demanding, stressful situations."
Calming Focus,350,Courage 40,Re-roll one failed fear or pinning test per turn.
Calming Presence,200,"Command Trained, Calming Focus",The character may take an action to make a command test at a +20 bonus. For every degree of success all allies he addresses gain a +10 to tests to resist fear and pinning.
Clear Target,300,Ranged Base 30,Halves penalties for calling hit locations on ranged attacks.
Clotter,300,Constitution 55,"When starting to bleed, make a toughness check at a -10 penalty. On a success the character doesn't bleed."
Companion,200,per GM discretion,The character may adopt a small companion. The GM will explain the details.
Crack Shot,500,"Perception Trained, Clear Target","Before taking a shot, make a perception check at a penalty equal to twice the target location armor. On a success halve the armor for this attack. Has no effect on shields."
Dominion,350,Supreme Awareness,"When taking a Defensive Stance and not moving, the control area is increased to 360°. The character may also gain attacks of opportunity against disengaging enemies."
Drunken Master,300,Bar Fighter,Limits the penalty to melee combat resulting from intoxication to -10. While intoxicated he himself is at a -20 to hit and can use maneuvers as normal.\\ Costs half as much for \textit{balanced} characters.
Dual Wielding,250,"Instinct 30, Dexterity 40",Halves penalties for dual wielding. Has to be taken once for melee and once for ranged separately.
Earth Shaker,400,no Butcher,Damage dealt with blunt weapons is increased by 1 for one-handed weapons or 2 for two-handed weapons.
Executioner,350,Trained Sense: Smell,Grants +10 to hit bleeding targets.
Expert Wrestler,350,Melee Combat Training (Grappling) Experienced,The character is incredibly well-trained in grappling that he can initiate a Hold as a free action.
Face Breaker,300,"Dexterity 30, Agility 30, Stunning Blow",Grants unarmed strikes the Trauma special rule.
Fighting Retreat,400,Battle Sense,Allows a single attack to be made when disengaging. This attack counts as being performed in movement.
Flip Up,300,Acrobatics Trained,"When standing up, reduce the time it takes by an action: prone to standing now takes one action or a free action and a successful agility test."
Focused Frenzy,350,"Instinct 30, Intelligence 40, no Unbridled Rage"," When the character is made to go berserk by some means, they can still identify friend and foe. When no foes are left and the \emph{Frenzy} does not end, friends still become valid targets."
Formation,300,Intelligence 35,"When taking Combined Actions, everyone involved is granted a +10, up to +30 when three or more characters have Formation. When \emph{Unbreakable Bond} partners also have Formation, those two gain an additional +10."
From The Shadows,250,Overly Cautious,"During the first round of combat the character has 6 additional initiative, unless the character was ambushed or similarly caught off guard."
