name,type,flavor_text,effect,slot,load,cost,mods
Ablative Skin,Cybernetic,"A mesh, added on top of the skin, that helps resisting against heat and fire based injury.",Halves heat and fire damage (except lasers). Cannot catch on fire.,skin,1 RI,180,"Wrongly fitted, Perfect fit, Inconspicuous, Aesthetic"
Bionic Cardiovascular Enhancements,Cybernetic,A cybernetic cardiovascular replacement. Can withstand more strain than the body's natural systems.,Increases MT by 1. May be implanted up to 3 times.,-,1 RI,150,"Wrongly fitted, Inconspicuous, Perfect fit"
Bionic Extremity,Cybernetic,A cybernetic body part to replace a lost one,The body part won't bleed and can't receive biotech implants or benefit from them.,one extremity,1 RI,50,"Cheap, Compartment, Wrongly fitted, Powerful, Tough, Inconspicuous, Perfect fit, Integrated Weaponry"
Climbing Arm,Cybernetic,Cybernetic arms with a strong grip that can lock their fingers in position to prevent all exhaustion from holding on to ledges.,Grants a +15 bonus to climbing tests and tests made to resist being disarmed.,one arm,1 RI,210,"Cheap, Compartment, Wrongly fitted, Powerful, Tough, Inconspicuous, Perfect fit, Integrated Weaponry"
Deadeye,Cybernetic,A holographic eye implant that grants many features like magnification and a range finder to assist in marksmanship,"Aim actions grant an additional +10 to the following shot. The target can move at any speed and the aim bonus is not lost, as long as it remains visible. The character can only benefit from one Deadeye.",one eye,2 RI,360,"Cheap, Wrongly fitted, Perfect fit"
Decentralized Muscle Processors,Cybernetic,Muscle memory was taken literally with this enhancement. Reactions are now partially calculated near the acting muscle fibers.,Grants +20 to all reaction tests. Enables the user to parry non-primitive ranged weapons. Feinting against the user is twice as effective.,nervous system,5 RI,560,"Cheap, Wrongly fitted, Inconspicuous, Perfect fit"
Jump Joints,Cybernetic,"Cybernetic loaded joints and leg bones that greatly increase jump height. No world records have been made using a set of these however - not for a lack of effectiveness, they were banned in sports before they were ever used.",Jump and leap distances are doubled. Halves distance for calculation of fall damage when landing in a controlled way.,both legs,3 RI,460,"Aesthetic, Cheap, Inconspicuous, Perfect fit, Powerful, Tough, Wrongly fitted, Compartment"
L1NC,Cybernetic," The Level One Neural Connector, likely the most common implant out there. It's relatively cheap and connects the user to the global AR network. With it the world becomes a vibrant place of color and music.","The user is connected to the global AR network. Most important information is shared through it: Shopping windows, guides, traffic signs, to name a few. People without this implant essentially live in another world, and are generally suspicious within the city. \\ Due to its importance, the L1NC has been optimized to the extreme. It is the safest implant out there, having almost no load on the body. It is also shielded from EMP. ",-,-,45 (but free at character creation),None
Lifter Arms,Cybernetic,"Arm and back implants that improve slow, sustained strength feats like lifting objects","Str for the purpose of determining carry weight, and on tests for slow feats of strength is increased by 40.","both arms, chest","2 RI, 1 MT",470,"Cheap, Compartment, Wrongly fitted, Powerful, Tough, Perfect fit"
Neural Vault,Cybernetic,A brain implant that represses all but the most necessary emotions,"The character gains the benefits of \emph{Broken}, stacking with the ability. He may never benefit from any positive disposition.",brain,3 RI,420,"Wrongly fitted, Inconspicuous, Perfect fit"
Pain Inhibitors,Cybernetic,"An implant that suppresses all pain reception, enabling fighting way beyond mortal limits.","The user suffers no pain or related effects. Due to removal of a natural inhibitor, the character suffers D5-2 dmg to a random location and D5 exhaustion at the end of every day he is active, ignoring injury threshold.",brain,3 RI,230,"Wrongly fitted, Inconspicuous, Perfect fit"
Protected Senses,Cybernetic,"Sensory overload can be a detriment to many professionals, from soldiers to thieves. This augment protects from such occurrences at some loss to the sense's accuracy","Grants +20 to resist overstimulation like blinding, deafening or pain. Using the associated sense suffers a -10.",one tagged senses,1 RI,180,"Cheap, Wrongly fitted, Perfect fit"
